
272, 143 169 198 0 0;
273, 143 169 198 234 0;
274, 143 169 220 0 0;
275, 150 162 189 200 0;
276, 150 162 189 200 225;
277, 160 192 225 270 0;
278, 165 195 231 275 0;
279, 192 225 270 320 0;
280, 225 270 320 384 0;
281, 330 385 450 528 0;
282, 600 675 744 800 0;
283, 600 675 744 800 900;
284, 660 770 840 924 1155;
285, 1001 1155 1365 1573 0;
286, 2197 2535 2925 3375 0;
287, 8580 9240 10010 10920 12012 15015;
288, 13122 16384 19683 0;
289, 16384 19683 24576 0;
